week,channels,notification_count
2024-03-31 00:00:00+0000,push,1989118
2024-03-03 00:00:00+0000,sms,238602
2024-03-10 00:00:00+0000,sms,238602
2024-03-17 00:00:00+0000,sms,238602
2024-03-24 00:00:00+0000,sms,238602
2024-03-31 00:00:00+0000,sms,238602
2024-03-03 00:00:00+0000,whatsapp,1409725
2024-03-10 00:00:00+0000,whatsapp,1409725
2024-03-17 00:00:00+0000,whatsapp,1409725
2024-03-24 00:00:00+0000,whatsapp,1409725
2024-03-31 00:00:00+0000,whatsapp,1409725
2024-04-07 00:00:00+0000,email,4063899
2024-04-14 00:00:00+0000,email,4063899
2024-04-21 00:00:00+0000,email,4063899
2024-04-28 00:00:00+0000,email,4063899
2024-04-07 00:00:00+0000,push,3333169
2024-04-14 00:00:00+0000,push,3333169
2024-04-21 00:00:00+0000,push,3333169
2024-04-28 00:00:00+0000,push,3333169
2024-04-07 00:00:00+0000,sms,170053
2024-04-14 00:00:00+0000,sms,170053
2024-04-21 00:00:00+0000,sms,170053
2024-04-28 00:00:00+0000,sms,170053
2024-04-07 00:00:00+0000,whatsapp,1939414
2024-04-14 00:00:00+0000,whatsapp,1939414
2024-04-21 00:00:00+0000,whatsapp,1939414
2024-04-28 00:00:00+0000,whatsapp,1939414
2024-05-05 00:00:00+0000,email,959058
2024-05-12 00:00:00+0000,email,959058
2024-05-19 00:00:00+0000,email,959058
2024-05-26 00:00:00+0000,email,959058
2024-05-05 00:00:00+0000,push,3637086
2024-05-12 00:00:00+0000,push,3637086
2024-05-19 00:00:00+0000,push,3637086
2024-05-26 00:00:00+0000,push,3637086
2024-05-05 00:00:00+0000,sms,156136
2024-05-12 00:00:00+0000,sms,156136
2024-05-19 00:00:00+0000,sms,156136
2024-05-26 00:00:00+0000,sms,156136
2024-05-05 00:00:00+0000,whatsapp,2313790
2024-05-12 00:00:00+0000,whatsapp,2313790
2024-05-19 00:00:00+0000,whatsapp,2313790
2024-05-26 00:00:00+0000,whatsapp,2313790
2024-06-02 00:00:00+0000,email,892378
2024-06-09 00:00:00+0000,email,892378
2024-06-16 00:00:00+0000,email,892378
2024-06-23 00:00:00+0000,email,892378
2024-06-30 00:00:00+0000,email,892378
2024-06-02 00:00:00+0000,push,2862100
2024-06-09 00:00:00+0000,push,2862100
2024-06-16 00:00:00+0000,push,2862100
2024-06-23 00:00:00+0000,push,2862100
2024-06-30 00:00:00+0000,push,2862100
2024-06-02 00:00:00+0000,sms,110164
2024-06-09 00:00:00+0000,sms,110164
2024-06-16 00:00:00+0000,sms,110164
2024-06-23 00:00:00+0000,sms,110164
2024-06-30 00:00:00+0000,sms,110164
2024-06-02 00:00:00+0000,whatsapp,1761163
2024-06-09 00:00:00+0000,whatsapp,1761163
2024-06-16 00:00:00+0000,whatsapp,1761163
2024-06-23 00:00:00+0000,whatsapp,1761163
2024-06-30 00:00:00+0000,whatsapp,1761163
2024-07-07 00:00:00+0000,email,1658205
2024-07-14 00:00:00+0000,email,1658205
2024-07-21 00:00:00+0000,email,1658205
2024-07-28 00:00:00+0000,email,1658205
2024-07-07 00:00:00+0000,push,4603157
2024-07-14 00:00:00+0000,push,4603157
2024-07-21 00:00:00+0000,push,4603157
2024-07-28 00:00:00+0000,push,4603157
2024-07-07 00:00:00+0000,sms,113808
2024-07-14 00:00:00+0000,sms,113808
2024-07-21 00:00:00+0000,sms,113808
2024-07-28 00:00:00+0000,sms,113808
2024-07-07 00:00:00+0000,whatsapp,2172709
2024-07-14 00:00:00+0000,whatsapp,2172709
2024-07-21 00:00:00+0000,whatsapp,2172709
2024-07-28 00:00:00+0000,whatsapp,2172709
2024-08-04 00:00:00+0000,email,2193822
2024-08-11 00:00:00+0000,email,2193822
2024-08-18 00:00:00+0000,email,2193822
2024-08-25 00:00:00+0000,email,2193822
2024-09-01 00:00:00+0000,email,2193822
2024-08-04 00:00:00+0000,push,6718591
2024-08-11 00:00:00+0000,push,6718591
2024-08-18 00:00:00+0000,push,6718591
2024-08-25 00:00:00+0000,push,6718591
2024-09-01 00:00:00+0000,push,6718591
2024-08-04 00:00:00+0000,sms,63046
2024-08-11 00:00:00+0000,sms,63046
2024-08-18 00:00:00+0000,sms,63046
2024-08-25 00:00:00+0000,sms,63046
2024-09-01 00:00:00+0000,sms,63046
2024-08-04 00:00:00+0000,whatsapp,1962636
2024-08-11 00:00:00+0000,whatsapp,1962636
2024-08-18 00:00:00+0000,whatsapp,1962636
2024-08-25 00:00:00+0000,whatsapp,1962636
2024-09-01 00:00:00+0000,whatsapp,1962636
2024-09-01 00:00:00+0000,email,13026901
2024-09-08 00:00:00+0000,email,13026901
2024-09-15 00:00:00+0000,email,13026901
2024-09-22 00:00:00+0000,email,13026901
2024-09-29 00:00:00+0000,email,13026901
2024-09-01 00:00:00+0000,push,8697814
2024-09-08 00:00:00+0000,push,8697814
2024-09-15 00:00:00+0000,push,8697814
2024-09-22 00:00:00+0000,push,8697814
2024-09-29 00:00:00+0000,push,8697814
2024-09-01 00:00:00+0000,sms,46331
2024-09-08 00:00:00+0000,sms,46331
2024-09-15 00:00:00+0000,sms,46331
2024-09-22 00:00:00+0000,sms,46331
2024-09-29 00:00:00+0000,sms,46331
2024-09-01 00:00:00+0000,whatsapp,1565236
2024-09-08 00:00:00+0000,whatsapp,1565236
2024-09-15 00:00:00+0000,whatsapp,1565236
2024-09-22 00:00:00+0000,whatsapp,1565236
2024-09-29 00:00:00+0000,whatsapp,1565236
2024-10-06 00:00:00+0000,email,15084716
2024-10-13 00:00:00+0000,email,15084716
2024-10-20 00:00:00+0000,email,15084716
2024-10-27 00:00:00+0000,email,15084716
2024-10-06 00:00:00+0000,push,12068721
2024-10-13 00:00:00+0000,push,12068721
2024-10-20 00:00:00+0000,push,12068721
2024-10-27 00:00:00+0000,push,12068721
2024-10-06 00:00:00+0000,sms,64892
2024-10-13 00:00:00+0000,sms,64892
2024-10-20 00:00:00+0000,sms,64892
2024-10-27 00:00:00+0000,sms,64892
2024-10-06 00:00:00+0000,whatsapp,1943707
2024-10-13 00:00:00+0000,whatsapp,1943707
2024-10-20 00:00:00+0000,whatsapp,1943707
2024-10-27 00:00:00+0000,whatsapp,1943707
2024-11-03 00:00:00+0000,email,8720395
2024-11-10 00:00:00+0000,email,8720395
2024-11-17 00:00:00+0000,email,8720395
2024-11-24 00:00:00+0000,email,8720395
2024-12-01 00:00:00+0000,email,8720395
2024-11-03 00:00:00+0000,push,10505314
2024-11-10 00:00:00+0000,push,10505314
2024-11-17 00:00:00+0000,push,10505314
2024-11-24 00:00:00+0000,push,10505314
2024-12-01 00:00:00+0000,push,10505314
2024-11-03 00:00:00+0000,sms,57344
2024-11-10 00:00:00+0000,sms,57344
2024-11-17 00:00:00+0000,sms,57344
2024-11-24 00:00:00+0000,sms,57344
2024-12-01 00:00:00+0000,sms,57344
2024-11-03 00:00:00+0000,whatsapp,1727583
2024-11-10 00:00:00+0000,whatsapp,1727583
2024-11-17 00:00:00+0000,whatsapp,1727583
2024-11-24 00:00:00+0000,whatsapp,1727583
2024-12-01 00:00:00+0000,whatsapp,1727583
2024-12-01 00:00:00+0000,email,7126932
2024-12-08 00:00:00+0000,email,7126932
2024-12-15 00:00:00+0000,email,7126932
2024-12-22 00:00:00+0000,email,7126932
2024-12-29 00:00:00+0000,email,7126932
2024-12-01 00:00:00+0000,push,9261342
2024-12-08 00:00:00+0000,push,9261342
2024-12-15 00:00:00+0000,push,9261342
2024-12-22 00:00:00+0000,push,9261342
2024-12-29 00:00:00+0000,push,9261342
2024-12-01 00:00:00+0000,sms,49505
2024-12-08 00:00:00+0000,sms,49505
2024-12-15 00:00:00+0000,sms,49505
2024-12-22 00:00:00+0000,sms,49505
2024-12-29 00:00:00+0000,sms,49505
2024-12-01 00:00:00+0000,whatsapp,1133979
2024-12-08 00:00:00+0000,whatsapp,1133979
2024-12-15 00:00:00+0000,whatsapp,1133979
2024-12-22 00:00:00+0000,whatsapp,1133979
2024-12-29 00:00:00+0000,whatsapp,1133979
